,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08
2,TXN_4977031,Cake,4,3.0,12.0,Cash,In-store,2023-05-16
4,TXN_4271903,Cookie,4,1.0,4.0,Credit Card,In-store,2023-07-19
5,TXN_7034554,Salad,2,5.0,10.0,DK/NS,DK/NS,2023-04-27
6,TXN_3160411,Coffee,2,2.0,4.0,Digital Wallet,In-store,2023-06-11
7,TXN_2602893,Smoothie,5,4.0,20.0,Credit Card,DK/NS,2023-03-31
8,TXN_4433211,DK/NS,3,3.0,9.0,DK/NS,Takeaway,2023-10-06
9,TXN_6699534,Sandwich,4,4.0,16.0,Cash,DK/NS,2023-10-28
10,TXN_4717867,DK/NS,5,3.0,15.0,DK/NS,Takeaway,2023-07-28
11,TXN_2064365,Sandwich,5,4.0,20.0,DK/NS,In-store,2023-12-31
12,TXN_2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07
13,TXN_3051279,Sandwich,2,4.0,8.0,Credit Card,Takeaway,
14,TXN_7619095,Sandwich,2,4.0,8.0,Cash,In-store,2023-05-03
15,TXN_9437049,Cookie,5,1.0,5.0,DK/NS,Takeaway,2023-06-01
16,TXN_8915701,Tea,2,1.5,3.0,DK/NS,In-store,2023-03-21
17,TXN_2847255,Salad,3,5.0,15.0,Credit Card,In-store,2023-11-15
18,TXN_3765707,Sandwich,1,4.0,4.0,DK/NS,DK/NS,2023-06-10
19,TXN_6769710,Juice,2,3.0,6.0,Cash,In-store,2023-02-24
20,TXN_8876618,Cake,5,3.0,15.0,Cash,DK/NS,2023-03-25
21,TXN_3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15
22,TXN_3522028,Smoothie,5,4.0,20.0,Cash,In-store,2023-04-04
23,TXN_3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30
24,TXN_5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
25,TXN_2616390,Sandwich,2,4.0,8.0,DK/NS,DK/NS,2023-09-18
26,TXN_9400181,Sandwich,5,4.0,20.0,Cash,In-store,2023-06-03
27,TXN_7958992,Smoothie,3,4.0,12.0,DK/NS,DK/NS,2023-12-13
28,TXN_5183041,Cookie,5,1.0,5.0,Credit Card,In-store,2023-04-20
29,TXN_5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10
30,TXN_8467949,Smoothie,5,4.0,20.0,Credit Card,DK/NS,2023-03-11
31,TXN_7640952,Cake,4,3.0,12.0,Digital Wallet,Takeaway,
32,TXN_1736287,Coffee,5,2.0,10.0,Digital Wallet,DK/NS,2023-06-02
33,TXN_8927252,Cookie,2,1.0,2.0,Credit Card,DK/NS,2023-11-06
34,TXN_9677376,Smoothie,4,4.0,16.0,DK/NS,In-store,2023-08-15
35,TXN_7710508,Cookie,5,1.0,5.0,Cash,DK/NS,
36,TXN_8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
37,TXN_9130559,Sandwich,1,4.0,4.0,Credit Card,DK/NS,2023-05-28
38,TXN_6855453,DK/NS,4,3.0,12.0,DK/NS,In-store,2023-07-17
39,TXN_1080432,Salad,2,5.0,10.0,Credit Card,In-store,2023-04-29
40,TXN_2655815,Smoothie,4,4.0,16.0,DK/NS,Takeaway,2023-06-08
41,TXN_6688524,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-06-29
42,TXN_2083138,Smoothie,3,4.0,12.0,DK/NS,In-store,2023-04-17
43,TXN_2427584,Sandwich,4,4.0,16.0,DK/NS,Takeaway,2023-12-22
44,TXN_6650263,Tea,2,1.5,3.0,DK/NS,Takeaway,2023-01-10
45,TXN_9620080,Juice,4,3.0,12.0,DK/NS,Takeaway,2023-10-02
46,TXN_1491578,Cookie,2,1.0,2.0,DK/NS,DK/NS,2023-02-23
47,TXN_5455792,Salad,3,5.0,15.0,Cash,DK/NS,2023-03-22
48,TXN_8078640,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-11-03
49,TXN_9499313,Juice,5,3.0,15.0,DK/NS,DK/NS,2023-03-02
50,TXN_8201146,Juice,5,3.0,15.0,Cash,DK/NS,2023-06-26
51,TXN_8230936,Cake,3,3.0,9.0,DK/NS,DK/NS,2023-05-02
52,TXN_7742742,Cake,5,3.0,15.0,DK/NS,Takeaway,2023-09-05
53,TXN_6342161,Salad,5,5.0,25.0,DK/NS,Takeaway,2023-01-08
54,TXN_8914892,Salad,5,5.0,25.0,Digital Wallet,DK/NS,2023-03-15
55,TXN_3363746,Smoothie,3,4.0,12.0,Credit Card,DK/NS,2023-11-25
56,TXN_8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
57,TXN_5522862,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-03-19
58,TXN_3578141,Cake,5,3.0,15.0,DK/NS,Takeaway,2023-06-27
59,TXN_2080895,Cake,1,3.0,3.0,Digital Wallet,In-store,2023-04-19
60,TXN_6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03
61,TXN_8813311,Juice,5,3.0,15.0,DK/NS,In-store,2023-10-07
